industry,location,state,number,occupation,initial_wage_per_day,date_1860,date_1861,date_1862,date_1863,date_1864,date_1865,date_1866
Iron Blast Furnaces - Anthracite,New York,115,Engine,1.50,100,91,100,100,119,145,125
Iron Blast Furnaces - Anthracite,New York,115,Keeper,1.25,100,91,100,100,119,145,150
Iron Blast Furnaces - Anthracite,New York,115,Keeper's helper,1.00,100,91,95,120,159,167,166
Iron Blast Furnaces - Anthracite,New York,115,Laborer,1.00,100,100,94,125,103,160,100
Iron Blast Furnaces - Bituminous,Columbiana,Pa.,116,Foreman,2.50,100,100,100,100,114,130,137
Iron Blast Furnaces - Bituminous,Columbiana,Pa.,116,Blacksmith's help,1.50,100,100,100,100,100,113,149
Iron Blast Furnaces - Bituminous,Columbiana,Pa.,116,Blacksmith,1.50,100,100,100,100,100,113,119
Iron Blast Furnaces - Bituminous,Columbiana,Pa.,116,Caster,1.50,100,100,100,100,100,113,119
Iron Blast Furnaces - Bituminous,Columbiana,Pa.,116,Keeper,1.50,100,100,100,100,100,113,119
Iron Blast Furnaces - Bituminous,Columbiana,Pa.,116,Laborer,0.80,100,92,100,100,156,200,244
Iron Blast Furnaces - Bituminous,Columbiana,Pa.,116,Boston filler and cg file,1.30,100,100,100,122,222,240,188
Iron Blast Furnaces - Bituminous,Columbiana,Pa.,116,Cinderxman,1.00,100,100,100,100,101,180,135
Iron Blast Furnaces - Bituminous,Columbiana,Pa.,116,Laborer,0.80,100,92,100,111,111,180,135
Iron Blast Furnaces - Charcoal,Pilot Knob,Mo.,203,Filler,1.00,100,...,...,...,110,120,120,140
Iron Blast Furnaces - Charcoal,Pilot Knob,Mo.,203,Keeper,1.00,100,...,...,...,110,120,120,140
Iron Blast Furnaces - Charcoal,Pilot Knob,Mo.,203,Laborer,1.00,100,...,...,...,100,115,140,140
Iron and Steel Foundries - Stove,Quincy,Ill.,11,Foreman,80.00,100,113,113,125,125,125,125
Iron and Steel Foundries - Stove,Quincy,Ill.,11,Blacksmith,1.50,100,117,117,131,131,131,131
Iron and Steel Foundries - Stove,Quincy,Ill.,11,Carpenter,1.50,100,100,100,100,100,100,100
Iron and Steel Foundries - Stove,Quincy,Ill.,11,Chipping man,1.25,100,100,100,100,100,100,100
Iron and Steel Foundries - Stove,Quincy,Ill.,11,Cleaners,0.90,100,100,100,100,100,100,100
Iron and Steel Foundries - Stove,Quincy,Ill.,11,Finisher,1.50,100,100,100,100,100,100,100
Iron and Steel Foundries - Stove,Quincy,Ill.,11,Filer,1.25,100,100,100,100,100,100,100
Iron and Steel Foundries - Stove,Quincy,Ill.,11,Finisher,2.00,100,100,100,100,100,100,100
Iron and Steel Foundries - Stove,Quincy,Ill.,11,Laborer,1.25,100,100,100,100,120,120,120
Iron and Steel Foundries - Stove,Quincy,Ill.,11,Machinist,1.50,100,100,100,100,100,100,100
Iron and Steel Foundries - Stove,Quincy,Ill.,11,Molder,3.00,100,117,150,158,167,167,167
Iron and Steel Foundries - Stove,Quincy,Ill.,11,Moulder's ap'ent,0.50,100,100,100,100,100,100,100
Iron and Steel Foundries - Stove,Quincy,Ill.,11,Pattern maker,1.50,100,100,100,100,100,100,100
Iron and Steel Foundries - Stove,Quincy,Ill.,11,Pattern-dresser,1.00,100,100,117,117,100,100,100
Iron and Steel Foundries - Stove,Philadelphia,Pa.,118,Engineer,1.50,100,100,100,100,100,100,150
Iron and Steel Foundries - Stove,Philadelphia,Pa.,118,Finisher,1.75,100,100,100,100,100,100,100
Iron and Steel Foundries - Stove,Philadelphia,Pa.,118,Laborer,1.08,100,81,81,100,131,132,136
Iron and Steel Foundries - Stove,Philadelphia,Pa.,118,Molder,1.34,100,85,81,73,78,128,184
Iron and Steel Foundries - Stove,Philadelphia,Pa.,118,Molder's helper,1.00,100,80,81,70,70,78,98
Hardware,Cheshire,Conn.,12,Blacksmith,2.00,100,100,100,100,100,100,100
Hardware,Cheshire,Conn.,12,Finisher,1.50,100,100,100,100,100,100,100
Hardware,Cheshire,Conn.,12,Laborer,1.50,100,100,100,100,100,100,100
Machinery,St. Louis,Mo.,176,Apprentice,0.35,100,100,100,100,114,124,124
Machinery,St. Louis,Mo.,176,Blacksmith,1.00,100,90,100,100,125,159,210
Machinery,St. Louis,Mo.,176,Blacksmith helper,1.00,100,90,100,100,125,159,210
Machinery,St. Louis,Mo.,176,Draftsman,1.50,100,90,100,100,125,175,208
Machinery,St. Louis,Mo.,176,Engineer,1.00,100,90,100,100,125,170,210
Machinery,St. Louis,Mo.,176,Laborer,1.00,100,90,100,100,125,175,210
