# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix A, Table 2: "Daily highest and lowest value in gold of $100 in currency"
# Pages 425-428. Values in gold dollars per $100 paper currency.
# Lower values = greater depreciation of greenbacks relative to gold.
year,month,day,highest,lowest
1863,5,7,66.96,66.67
1863,5,8,68.09,66.67
1863,5,9,67.42,66.76
1863,5,11,68.48,67.18
1863,5,12,68.05,67.18
1863,5,13,68.05,67.42
1863,5,14,67.31,66.89
1863,5,15,67.31,66.89
1863,5,16,67.31,64.89
1863,5,18,68.45,67.51
1863,5,19,68.48,67.51
1863,5,20,68.45,67.51
1863,5,21,67.34,64.89
1863,5,22,68.05,67.42
1863,5,23,68.05,67.42
1863,5,25,68.65,67.09
1863,5,26,68.65,67.09
1863,5,27,68.65,67.09
1863,5,28,68.65,67.09
1863,6,1,68.49,67.80
1863,6,2,68.14,67.41
1863,6,3,68.14,67.41
1863,6,4,67.75,68.03
1863,6,5,69.48,68.26
1863,6,6,69.48,68.26
1863,6,8,68.91,68.19
1863,6,9,68.91,68.19
1863,6,10,68.31,67.75
1863,6,11,67.75,68.03
1863,6,12,67.25,68.09
1863,6,13,67.25,68.49
1863,6,15,67.70,68.18
1863,6,16,67.25,68.09
1863,6,17,67.25,68.09
1863,6,18,67.25,68.09
1863,6,19,67.60,69.09
1863,6,20,69.97,68.85
1863,6,22,69.97,68.85
1863,6,23,69.97,68.85
1863,6,24,69.97,68.85
1863,6,25,69.97,68.85
1863,6,26,69.97,68.85
1863,6,27,70.30,70.18
1863,6,29,69.58,65.41
1863,6,30,69.58,65.41
1863,7,1,80.06,66.97
1863,7,2,69.14,66.52
1863,7,3,69.14,66.32
1863,7,4,72.46,71.81
1863,7,6,69.52,66.14
1863,7,7,68.86,67.17
1863,7,8,68.86,67.17
1863,7,9,79.81,79.78
1863,7,10,79.19,79.05
1863,7,11,79.52,79.06
1863,7,13,79.84,79.84
1863,7,14,80.14,79.78
1863,7,15,80.06,79.30
1863,7,16,79.52,79.36
1863,7,17,79.57,79.36
1863,7,18,79.52,79.34
1863,7,20,81.16,79.78
1863,7,21,81.14,79.78
1863,7,22,81.81,81.30
1863,7,23,79.52,79.06
1863,7,24,79.52,79.06
1863,7,25,79.84,79.84
1863,7,27,79.52,79.06
1863,7,28,79.52,79.34
1863,7,29,79.52,79.06
1863,7,30,80.06,79.64
1863,7,31,78.05,77.73
1863,8,1,67.29,67.64
1863,8,3,67.15,67.55
1863,8,4,67.29,67.64
1863,8,5,67.29,67.64
1863,8,6,67.29,67.64
1863,8,8,68.32,68.09
1863,8,10,68.32,68.09
1863,8,11,68.32,68.09
1863,8,12,68.32,68.09
1863,8,13,68.32,68.09
1863,8,14,68.32,68.09
1863,8,15,68.32,68.09
1863,8,17,68.85,68.73
1863,8,18,68.85,68.73
1863,8,19,68.85,68.73
1863,8,20,68.55,68.09
1863,8,21,68.55,68.09
1863,8,22,68.55,68.09
1863,8,24,68.86,68.73
1863,8,25,68.86,68.73
1863,8,26,68.50,68.18
1863,8,27,68.50,68.18
1863,8,28,68.15,67.78
1863,8,29,68.01,67.73
1863,8,31,68.01,67.73
1863,9,1,68.82,78.31
1863,9,2,65.53,64.49
1863,9,3,71.19,71.49
1863,9,4,71.90,71.49
1863,9,5,75.37,75.44
1863,9,7,75.26,75.09
1863,9,8,75.37,75.44
1863,9,9,73.64,73.44
1863,9,10,72.39,72.22
1863,9,11,71.19,71.81
1863,9,12,72.12,71.61
1863,9,14,72.86,72.14
1863,9,15,72.86,72.14
1863,9,16,71.90,71.49
1863,9,17,72.93,72.22
1863,9,18,72.93,72.22
1863,9,19,72.05,71.61
1863,9,20,72.42,71.61
1863,9,21,72.42,71.61
1863,9,22,72.86,72.14
1863,9,23,72.86,72.14
1863,9,24,72.42,71.61
1863,9,25,72.42,71.61
1863,9,26,72.42,71.61
1863,9,28,72.86,72.14
1863,9,29,69.58,68.23
1863,10,1,64.21,71.21
1863,10,2,64.06,64.06
1863,10,3,64.06,64.06
1863,10,5,65.32,64.06
1863,10,6,63.57,64.06
1863,10,7,63.57,64.06
1863,10,8,64.89,64.03
1863,10,9,64.84,64.03
1863,10,10,64.84,64.03
1863,10,12,64.84,64.03
1863,10,13,64.84,64.03
1863,10,14,64.84,64.03
1863,10,15,64.84,64.03
1863,10,16,64.84,64.03
1863,10,17,64.89,64.03
1863,10,19,64.89,64.98
1863,10,20,64.89,64.98
1863,10,21,64.89,64.98
1863,10,22,64.89,64.98
1863,10,23,64.89,64.98
1863,10,24,64.89,64.98
1863,10,26,64.89,64.98
1863,10,27,64.84,64.09
1863,10,28,64.89,64.09
1863,10,29,64.84,64.09
1863,10,30,64.84,64.09
1863,10,31,67.57,67.28
1863,11,2,65.52,65.26
1863,11,3,65.55,65.28
1863,11,4,65.19,64.83
1863,11,5,65.19,64.83
1863,11,6,68.38,68.70
1863,11,7,68.39,68.03
1863,11,9,68.39,68.03
1863,11,10,68.39,68.03
1863,11,11,68.29,68.03
1863,11,12,68.67,67.91
1863,11,13,68.67,97.91
1863,11,14,68.67,97.91
1863,11,16,66.36,64.04
1863,11,17,66.36,64.94
1863,11,18,66.36,64.04
1863,11,19,65.44,65.15
1863,11,20,65.44,65.15
1863,11,21,65.44,65.15
1863,11,23,65.44,65.15
1863,11,24,65.44,65.15
1863,11,25,65.44,65.11
1863,12,1,68.49,67.80
1863,12,2,68.14,67.41
1863,12,3,67.34,63.45
1863,12,4,67.34,63.45
1863,12,5,67.34,63.45
1863,12,7,68.91,68.19
1863,12,8,68.91,68.19
1863,12,9,68.49,67.80
1863,12,10,68.14,67.41
1863,12,11,68.14,67.41
1863,12,12,67.70,67.28
1863,12,14,69.50,65.62
1863,12,15,69.50,65.62
1863,12,16,68.91,68.19
1863,12,17,68.91,68.19
1863,12,18,68.91,68.19
1863,12,19,68.91,68.19
1863,12,22,67.57,67.28
1863,12,23,67.60,65.14
1863,12,24,67.60,65.14
1863,12,26,68.45,65.17
1863,12,28,69.98,65.62
1863,12,29,69.98,65.62
1863,12,30,68.49,67.80
1863,12,31,68.34,65.84
1864,1,1,65.10,65.39
1864,1,2,65.95,65.79
1864,1,3,63.38,63.34
1864,1,4,63.30,64.52
1864,1,5,63.38,63.29
1864,1,6,66.04,66.08
1864,1,7,66.14,66.68
1864,1,8,65.90,65.68
1864,1,9,65.84,66.08
1864,1,11,65.63,65.57
1864,1,12,65.01,64.80
1864,1,13,65.40,65.04
1864,1,14,65.62,65.30
1864,1,15,65.62,65.79
1864,1,16,62.52,62.79
1864,1,18,62.86,62.79
1864,1,19,62.58,62.15
1864,1,20,62.52,62.35
1864,1,21,62.39,62.01
1864,1,22,64.30,63.85
1864,1,23,63.59,63.29
1864,1,24,63.50,63.44
1864,1,25,63.44,63.34
1864,1,26,63.69,63.59
1864,1,27,63.14,63.34
1864,1,28,63.69,63.59
1864,1,29,63.90,63.44
1864,1,30,62.82,62.79
1864,1,31,62.80,62.79
1864,2,1,63.10,63.39
1864,2,2,63.38,63.34
1864,2,3,62.65,62.65
1864,2,4,62.52,62.79
1864,2,5,63.39,63.19
1864,2,6,63.64,64.49
1864,2,8,62.89,62.59
1864,2,9,62.80,62.79
1864,2,10,62.52,62.35
1864,2,11,62.06,62.01
1864,2,12,62.39,62.61
1864,2,13,63.52,63.08
1864,2,15,63.59,63.29
1864,2,16,63.54,63.29
1864,2,17,63.50,63.29
1864,2,18,62.52,62.35
1864,2,19,62.38,62.14
1864,2,20,59.09,62.89
1864,2,22,60.06,59.73
1864,2,23,59.62,59.73
1864,2,24,59.56,59.45
1864,2,25,59.09,59.45
1864,2,26,59.09,59.13
1864,2,27,59.62,59.45
1864,2,29,62.82,62.79
1864,3,1,62.58,62.50
1864,3,2,62.65,62.65
1864,3,3,62.52,62.50
1864,3,4,62.52,62.35
1864,3,5,61.31,61.73
1864,3,7,61.55,61.73
1864,3,8,60.06,60.14
1864,3,9,60.06,60.14
1864,3,10,59.09,60.00
1864,3,11,59.09,59.00
1864,3,12,59.09,59.44
1864,3,14,59.09,59.08
1864,3,15,60.06,59.44
1864,3,16,61.73,61.73
1864,3,17,61.73,61.73
1864,3,18,60.98,61.14
1864,3,19,60.98,61.14
1864,3,21,63.64,63.49
1864,3,22,63.64,63.49
1864,3,23,63.69,63.59
1864,3,24,63.09,63.08
1864,3,25,63.69,63.59
1864,3,26,60.98,61.14
1864,3,28,60.06,58.38
1864,3,29,60.06,58.38
1864,3,30,60.06,58.38
1864,3,31,60.88,60.48
1864,4,1,60.06,59.44
1864,4,2,60.06,59.97
1864,4,4,59.09,59.00
1864,4,5,59.09,59.00
1864,4,6,59.59,59.08
1864,4,7,59.59,59.08
1864,4,8,59.09,59.08
1864,4,9,59.09,59.00
1864,4,11,59.34,59.02
1864,4,12,59.34,59.12
1864,4,13,59.34,59.02
1864,4,14,57.56,56.34
1864,4,15,57.47,56.34
1864,4,16,56.80,56.50
1864,4,18,55.85,55.65
1864,4,19,55.68,55.65
1864,4,20,55.15,55.19
1864,4,21,54.51,54.98
1864,4,22,54.34,54.05
1864,4,23,54.51,54.05
1864,4,25,54.34,54.05
1864,4,26,54.34,54.65
1864,4,27,54.06,54.65
1864,4,28,54.34,54.98
1864,4,29,54.51,54.98
1864,4,30,54.51,54.98
1864,5,1,56.52,56.58
1864,5,2,56.50,56.58
1864,5,3,56.14,55.71
1864,5,4,54.51,54.31
1864,5,5,54.34,54.31
1864,5,6,55.68,55.55
1864,5,7,55.85,55.55
1864,5,9,56.14,55.55
1864,5,10,55.85,55.55
1864,5,11,55.15,55.19
1864,5,12,54.34,54.98
1864,5,13,54.51,54.98
1864,5,14,54.51,54.31
1864,5,16,53.34,53.05
1864,5,17,53.06,52.55
1864,5,18,52.55,52.55
1864,5,19,52.85,52.55
1864,5,20,53.05,52.55
1864,5,21,54.06,53.72
1864,5,23,54.51,54.05
1864,5,24,55.15,55.19
1864,5,25,55.68,55.55
1864,5,26,55.68,55.55
1864,5,27,55.68,55.55
1864,5,28,55.68,55.55
1864,5,30,55.34,55.18
1864,5,31,55.34,55.18
1864,6,1,52.02,52.63
1864,6,2,52.36,52.19
1864,6,3,51.51,50.44
1864,6,4,50.31,50.44
1864,6,6,50.31,50.44
1864,6,7,49.79,49.25
1864,6,8,48.92,48.65
1864,6,9,48.92,48.65
1864,6,10,48.65,48.01
1864,6,11,48.65,48.01
1864,6,13,47.62,47.01
1864,6,14,47.06,46.03
1864,6,15,47.62,46.03
1864,6,16,47.06,46.03
1864,6,17,46.92,46.03
1864,6,18,47.06,46.03
1864,6,20,46.78,45.98
1864,6,21,46.00,45.98
1864,6,22,46.00,45.28
1864,6,23,45.98,45.28
1864,6,24,46.00,45.28
1864,6,25,45.98,45.28
1864,6,27,45.98,45.28
1864,6,28,46.00,45.28
1864,6,29,46.00,45.28
1864,6,30,39.65,38.72
1864,7,1,45.05,46.00
1864,7,2,42.52,40.16
1864,7,3,40.52,38.34
1864,7,5,39.06,38.65
1864,7,6,42.52,40.16
1864,7,7,40.38,38.34
1864,7,8,40.55,38.17
1864,7,9,39.46,38.11
1864,7,10,39.35,38.46
1864,7,11,39.50,37.35
1864,7,12,38.50,37.03
1864,7,13,39.05,38.03
1864,7,14,39.33,38.21
1864,7,15,39.41,38.31
1864,7,16,39.33,38.21
1864,7,17,39.33,38.34
1864,7,18,39.33,38.34
1864,7,19,39.32,38.21
1864,7,20,40.24,38.28
1864,7,21,39.30,38.26
1864,7,22,39.35,38.21
1864,7,23,39.33,38.31
1864,7,24,39.33,38.31
1864,7,25,39.42,38.31
1864,7,26,39.02,38.21
1864,7,27,39.42,35.98
1864,7,28,39.33,38.34
1864,7,29,40.09,39.45
1864,7,30,39.16,38.65
1864,7,31,42.73,41.15
1864,8,1,61.51,61.08
1864,8,2,60.51,60.44
1864,8,3,58.06,58.34
1864,8,4,58.06,58.34
1864,8,5,58.96,58.34
1864,8,6,59.06,58.34
1864,8,8,59.12,58.96
1864,8,9,59.12,58.91
1864,8,10,59.64,59.43
1864,8,11,56.54,57.31
1864,8,12,55.42,54.31
1864,8,13,54.42,54.31
1864,8,14,55.42,54.10
1864,8,15,54.44,54.10
1864,8,16,54.67,54.10
1864,8,17,55.44,54.10
1864,8,18,54.44,54.10
1864,8,19,54.44,54.10
1864,8,20,56.41,55.39
1864,8,22,56.41,55.39
1864,8,23,56.41,55.39
1864,8,24,55.41,55.39
1864,8,25,55.97,55.47
1864,8,26,55.97,55.47
1864,8,27,56.97,55.47
1864,8,29,59.10,55.47
1864,8,30,59.10,57.47
1864,8,31,59.10,57.47
1864,9,1,41.11,40.24
1864,9,2,52.03,53.01
1864,9,3,54.12,50.29
1864,9,5,51.49,48.84
1864,9,6,46.54,44.41
1864,9,7,45.54,44.10
1864,9,8,46.54,44.10
1864,9,9,45.74,43.31
1864,9,10,46.64,44.41
1864,9,12,45.84,44.94
1864,9,13,46.64,44.80
1864,9,14,44.44,44.10
1864,9,15,44.44,44.10
1864,9,16,44.67,44.10
1864,9,17,44.44,44.10
1864,9,19,45.44,44.53
1864,9,20,45.44,44.53
1864,9,21,45.84,45.34
1864,9,22,45.84,45.34
1864,9,23,45.84,45.34
1864,9,24,45.84,45.34
1864,9,26,45.84,45.15
1864,9,27,47.00,46.03
1864,9,28,47.62,46.03
1864,9,29,47.62,46.03
1864,9,30,47.00,46.03
1864,10,1,52.03,53.61
1864,10,2,53.43,53.09
1864,10,3,50.53,49.06
1864,10,4,50.53,49.06
1864,10,5,49.13,48.84
1864,10,6,49.64,48.84
1864,10,7,49.64,48.84
1864,10,8,49.13,48.84
1864,10,10,48.85,48.34
1864,10,11,48.65,48.34
1864,10,12,48.85,48.34
1864,10,13,48.65,48.34
1864,10,14,48.85,48.34
1864,10,15,47.58,47.34
1864,10,17,47.58,47.34
1864,10,18,47.58,47.34
1864,10,19,46.75,47.34
1864,10,20,45.84,45.15
1864,10,21,43.24,40.82
1864,10,22,43.15,40.55
1864,10,24,43.51,43.15
1864,10,25,43.51,43.15
1864,10,26,43.51,43.15
1864,10,27,43.51,43.15
1864,10,28,43.51,43.15
1864,10,29,43.51,43.15
1864,10,31,43.51,43.15
1864,11,1,43.45,41.41
1864,11,2,43.45,41.41
1864,11,3,43.45,41.41
1864,11,4,43.15,41.41
1864,11,5,43.15,41.41
1864,11,7,43.51,43.15
1864,11,8,43.51,43.15
1864,11,9,43.51,43.15
1864,11,10,43.51,43.15
1864,11,11,43.51,43.15
1864,11,12,43.51,43.15
1864,11,14,42.42,41.80
1864,11,15,42.42,41.80
1864,11,16,42.42,41.80
1864,11,17,42.42,41.80
1864,11,18,43.51,43.15
1864,11,19,43.51,43.15
1864,11,21,43.51,43.15
1864,11,22,43.51,43.15
1864,11,23,43.51,43.15
1864,11,25,43.51,43.15
1864,11,26,43.51,43.15
1864,11,28,43.51,43.15
1864,11,29,47.00,46.03
1864,11,30,47.00,46.03
1864,12,1,43.01,42.11
1864,12,2,43.45,41.41
1864,12,3,43.45,41.41
1864,12,5,45.05,45.05
1864,12,6,46.30,45.42
1864,12,7,46.30,45.42
1864,12,8,46.30,45.42
1864,12,9,46.30,45.42
1864,12,10,45.05,45.05
1864,12,12,43.01,42.46
1864,12,13,43.01,42.46
1864,12,14,43.45,42.46
1864,12,15,43.45,42.46
1864,12,16,43.01,42.46
1864,12,17,43.01,42.46
1864,12,19,43.45,42.46
1864,12,20,46.30,45.42
1864,12,21,46.30,45.42
1864,12,22,46.14,45.28
1864,12,23,46.30,45.42
1864,12,24,46.30,45.57
1864,12,26,46.30,45.57
